entry_key	signature_hash	label	description	observed_count	exemplar_pids	object_type	typeOfResource	has_parent	has_children	is_ordered	datastream_ids	datastream_details_json	signature_json
pdf_object_definition_01d424b8a51b	01d424b8a51b	pdf object definition	Observed pdf object definition through public BDR API sampling.	2	bdr:5pwxc7h4|bdr:8z74mmyk	pdf	text_resources	False	False	False	MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}]"	"{""datastream_details"":[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}],""datastream_ids"":[""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":false,""is_ordered"":false,""object_type"":""pdf"",""typeOfResource"":""text_resources""}"
pdf_object_definition_07bc58a8abdd	07bc58a8abdd	pdf object definition	Observed pdf object definition through public BDR API sampling.	1	bdr:592rayx5	pdf	journals	False	True	False	MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata	"[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""}]"	"{""datastream_details"":[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""}],""datastream_ids"":[""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata""],""has_children"":true,""has_parent"":false,""is_ordered"":false,""object_type"":""pdf"",""typeOfResource"":""journals""}"
pdf_object_definition_091cc58a6c3b	091cc58a6c3b	pdf object definition	Observed pdf object definition through public BDR API sampling.	3	bdr:1102288|bdr:1102289|bdr:1102290	pdf	text	True	False	True	DC|MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}]"	"{""datastream_details"":[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}],""datastream_ids"":[""DC"",""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":true,""is_ordered"":true,""object_type"":""pdf"",""typeOfResource"":""text""}"
pdf_object_definition_0ad4eed38562	0ad4eed38562	pdf object definition	Observed pdf object definition through public BDR API sampling.	1	bdr:3pwyfnk2	pdf	text_resources	False	False	False	MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata	"[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""}]"	"{""datastream_details"":[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""}],""datastream_ids"":[""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata""],""has_children"":false,""has_parent"":false,""is_ordered"":false,""object_type"":""pdf"",""typeOfResource"":""text_resources""}"
pdf_object_definition_1525415b0c82	1525415b0c82	pdf object definition	Observed pdf object definition through public BDR API sampling.	3	bdr:hyexwm47|bdr:47e3s9cn|bdr:4k4qz42b	pdf	conference_proceedings	True	False	True	MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}]"	"{""datastream_details"":[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}],""datastream_ids"":[""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":true,""is_ordered"":true,""object_type"":""pdf"",""typeOfResource"":""conference_proceedings""}"
pdf_object_definition_1b807db0e989	1b807db0e989	pdf object definition	Observed pdf object definition through public BDR API sampling.	23	bdr:hbndrbkd|bdr:abdn9h3p|bdr:vk2xkg6w	pdf	text	True	False	True	MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}]"	"{""datastream_details"":[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}],""datastream_ids"":[""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":true,""is_ordered"":true,""object_type"":""pdf"",""typeOfResource"":""text""}"
pdf_object_definition_1cfb7882432d	1cfb7882432d	pdf object definition	Observed pdf object definition through public BDR API sampling.	15	bdr:841230|bdr:841232|bdr:841231	pdf	text	True	False	True	DC|MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""application/octet-stream""}]"	"{""datastream_details"":[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""application/octet-stream""}],""datastream_ids"":[""DC"",""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":true,""is_ordered"":true,""object_type"":""pdf"",""typeOfResource"":""text""}"
pdf_object_definition_1fdf4213ba8b	1fdf4213ba8b	pdf object definition	Observed pdf object definition through public BDR API sampling.	30	bdr:2bsqcvhu|bdr:2mbft26n|bdr:36kz74et	pdf	images	False	False	False	MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}]"	"{""datastream_details"":[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}],""datastream_ids"":[""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":false,""is_ordered"":false,""object_type"":""pdf"",""typeOfResource"":""images""}"
pdf_object_definition_2078c8d781d6	2078c8d781d6	pdf object definition	Observed pdf object definition through public BDR API sampling.	1	bdr:7dmq3aws|bdr:5zhk8zdv	pdf	text	False	True	False	MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}]"	"{""datastream_details"":[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}],""datastream_ids"":[""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":true,""has_parent"":false,""is_ordered"":false,""object_type"":""pdf"",""typeOfResource"":""text""}"
pdf_object_definition_253faaf38481	253faaf38481	pdf object definition	Observed pdf object definition through public BDR API sampling.	2	bdr:5aqvzm4u|bdr:7qqduwqa	pdf	text	False	False	False	MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}]"	"{""datastream_details"":[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}],""datastream_ids"":[""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":false,""is_ordered"":false,""object_type"":""pdf"",""typeOfResource"":""text""}"
pdf_object_definition_3e1f46eaab03	3e1f46eaab03	pdf object definition	Observed pdf object definition through public BDR API sampling.	77	bdr:s25vu69v|bdr:t7u64nwf|bdr:86es2jcd	pdf	articles	True	False	True	MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}]"	"{""datastream_details"":[{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}],""datastream_ids"":[""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":true,""is_ordered"":true,""object_type"":""pdf"",""typeOfResource"":""articles""}"
pdf_object_definition_4975f3ef55de	4975f3ef55de	pdf object definition	Observed pdf object definition through public BDR API sampling.	2	bdr:1104417|bdr:1113163	pdf	still image	False	False	False	DC|MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata	"[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""}]"	"{""datastream_details"":[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""}],""datastream_ids"":[""DC"",""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata""],""has_children"":false,""has_parent"":false,""is_ordered"":false,""object_type"":""pdf"",""typeOfResource"":""still image""}"
pdf_object_definition_5232a987c084	5232a987c084	pdf object definition	Observed pdf object definition through public BDR API sampling.	17	bdr:788209|bdr:788210|bdr:788211	pdf	text	False	False	False	DC|MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""application/octet-stream""}]"	"{""datastream_details"":[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""application/octet-stream""}],""datastream_ids"":[""DC"",""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":false,""is_ordered"":false,""object_type"":""pdf"",""typeOfResource"":""text""}"
pdf_object_definition_5f8b75a0b1f9	5f8b75a0b1f9	pdf object definition	Observed pdf object definition through public BDR API sampling.	5	bdr:1104418|bdr:1104419|bdr:1105014	pdf	text	False	False	False	DC|MODS|PDF|RELS-EXT|RELS-INT|irMetadata|rightsMetadata|thumbnail	"[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}]"	"{""datastream_details"":[{""id"":""DC"",""mime_type"":""application/octet-stream""},{""id"":""MODS"",""mime_type"":""text/xml""},{""id"":""PDF"",""mime_type"":""application/pdf""},{""id"":""RELS-EXT"",""mime_type"":""text/xml""},{""id"":""RELS-INT"",""mime_type"":""text/xml""},{""id"":""irMetadata"",""mime_type"":""application/octet-stream""},{""id"":""rightsMetadata"",""mime_type"":""application/octet-stream""},{""id"":""thumbnail"",""mime_type"":""image/jpeg""}],""datastream_ids"":[""DC"",""MODS"",""PDF"",""RELS-EXT"",""RELS-INT"",""irMetadata"",""rightsMetadata"",""thumbnail""],""has_children"":false,""has_parent"":false,""is_ordered"":false,""object_type"":""pdf"",""typeOfResource"":""text""}"
